FDW58, nan
FDW14, nan
NCN55, 14.6
FDQ58, nan
FDY38, 13.6
FDH56, 9.8
FDL48, 19.35
FDC48, 9.195
FDN33, 6.305
FDA36, 5.985
FDT44, 16.6
FDQ56, 6.59
NCC54, 17.75
FDU11, nan
DRL59, 16.75
FDM24, 6.135
FDI57, 19.85
DRC12, 17.85
NCM42, 6.13
FDA46, 13.6
FDA31, 7.1
NCJ31, 19.2
FDG52, 13.65
NCL19, 15.35
FDS10, 19.2
FDX22, 6.785
NCF19, 13.0
NCE06, 5.825
DRC27, nan
FDE21, 12.8
NCR42, 9.105
FDX51, nan
NCR06, nan
FDU31, 10.5
FDU59, 5.78
FDR03, 15.7
FDS49, nan
FDD48, 10.395
NCF18, nan
NCD43, 8.85
NCD54, 21.1
FDY19, 19.75
NCY54, 8.43
FDP23, 6.71
FDC26, 10.195
FDR14, 11.65
NCS41, 12.85
FDF41, 12.15
FDU34, 18.25
DRH11, nan
FDM03, 12.65
FDS31, 13.1
FDJ20, nan
FDV44, 8.365
FDG02, 7.855
FDA09, nan
FDT04, nan
FDL58, nan
FDE52, 10.395
FDW12, 8.315
FDL51, nan
NCY42, nan
FDR07, 21.35
FDN40, nan
FDB35, 12.3
FDA22, 7.435
NCL06, 14.65
FDI35, 14.0
NCW42, 18.2
NCX06, 17.6
FDC37, 15.5
FDZ14, 7.71
DRG49, 7.81
NCG06, 16.35
DRC36, 13.0
FDV21, 11.5
FDB53, nan
DRP47, nan
FDA14, 16.1
DRC24, nan
FDW21, 5.34
NCH29, 5.51
FDU58, 6.61
FDY27, 6.38
FDV56, 16.1
FDT59, 13.65
FDB23, 19.2
FDR49, 8.71
FDB03, 17.75
FDN39, 19.35
FDX02, 16.0
FDQ16, nan
FDU35, 6.44
NCT29, 12.6
FDZ27, nan
FDN57, 18.25
FDA03, 18.5
FDZ36, 6.035
NCU05, 11.8
FDT39, 6.26
FDK60, 16.5
FDZ25, 15.7
FDG12, 6.635
DRB01, 7.39
NCC43, nan
FDX13, 7.725
FDM22, 14.0
FDJ03, 12.35
FDU14, 17.75
FDB33, 17.75
FDP27, 8.155
FDO38, 17.25
FDE28, 9.5
FDO27, 6.175
DRL23, nan
FDS28, nan
FDX24, 8.355
FDZ02, 6.905
FDL46, nan
FDS60, 20.85
NCO06, 19.25
FDO16, 5.48
FDC60, 5.425
FDA48, 12.1
FDK27, 11.0
FDW23, 5.765
FDM14, 13.8
FDW60, 5.44
FDY59, 8.195
DRI49, 14.15
FDT28, 13.3
FDQ22, 16.75
FDR60, 14.3
FDC50, 15.85
FDV24, 5.635
DRF48, 5.73
FDQ47, nan
DRN36, 15.2
NCY06, 15.25
NCB54, nan
NCF31, nan
FDJ08, 11.1
NCC07, 19.6
NCD19, 8.93
FDM20, nan
NCI06, 11.3
DRM11, 6.57
